,Company Name,Ratings,Description,Comparison,Reviews,Salary,Interviews,Jobs,Benefits
83,Tata Projects,4.2,Engineering & Construction | Mumbai +284 other locations,"Highly Rated For Job Security, Salary & Benefits, Company Culture",6.6k Reviews,22k Salaries,570 Interviews,30 Jobs,540 Benefits
84,Coforge,3.2,IT Services & Consulting | Noida +104 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",6.5k Reviews,48.2k Salaries,678 Interviews,104 Jobs,273 Benefits
85,FIS,3.8,FinTech | Pune +61 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Skill Development / Learning",6.4k Reviews,38.7k Salaries,530 Interviews,144 Jobs,721 Benefits
86,Bajaj Life Insurance,3.9,Insurance | Pune +603 other locations,Highly Rated For Salary & Benefits,6.4k Reviews,17.3k Salaries,430 Interviews,60 Jobs,474 Benefits
87,L&T Technology Services,3.1,IT Services & Consulting | Bangalore / Bengaluru +93 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.4k Reviews,42.4k Salaries,618 Interviews,-- Jobs,415 Benefits
88,Cholamandalam Investment & Finance,3.8,Financial Services | Chennai +829 other locations,Highly Rated For Salary & Benefits  Critically Rated For Promotions / Appraisal,6.3k Reviews,12.6k Salaries,265 Interviews,12 Jobs,293 Benefits
89,IIFL Finance,4.0,NBFC | Mumbai +800 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security",6.3k Reviews,13.9k Salaries,314 Interviews,49 Jobs,433 Benefits
90,Oracle,3.5,Software Product | Bangalore / Bengaluru +56 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.2k Reviews,62.1k Salaries,939 Interviews,1.1k Jobs,617 Benefits
91,Indian Army,4.7,Defence & Aerospace | New Delhi +363 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance",6.2k Reviews,9.4k Salaries,196 Interviews,-- Jobs,728 Benefits
92,Omega Healthcare,3.8,BPO | Chennai +69 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",6.2k Reviews,26.2k Salaries,528 Interviews,127 Jobs,390 Benefits
93,Muthoot Finance,3.7,NBFC | Bangalore / Bengaluru +781 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction",6.2k Reviews,13k Salaries,331 Interviews,58 Jobs,325 Benefits
94,JLL,4.1,Real Estate | Gurgaon / Gurugram +85 other locations,"Highly Rated For Job Security, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",6.1k Reviews,24.1k Salaries,469 Interviews,241 Jobs,540 Benefits
95,HCL Group,3.5,IT Services & Consulting | Chennai +97 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6.1k Reviews,40.3k Salaries,509 Interviews,-- Jobs,661 Benefits
96,eClerx,3.1,IT Services & Consulting | Pune +32 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",6k Reviews,31.5k Salaries,623 Interviews,277 Jobs,555 Benefits
97,Virtusa Consulting Services,3.7,IT Services & Consulting | Hyderabad / Secunderabad +55 other locations,"Critically Rated For Promotions / Appraisal, Work Satisfaction, Job Security",5.9k Reviews,56.5k Salaries,656 Interviews,1.1k Jobs,318 Benefits
98,Piramal Finance,4.2,NBFC | Mumbai +419 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning",5.9k Reviews,12.8k Salaries,286 Interviews,2 Jobs,445 Benefits
99,DMart,3.9,Retail | Mumbai +246 other locations,"Highly Rated For Job Security, Company Culture  Critically Rated For Promotions / Appraisal",5.9k Reviews,18.1k Salaries,526 Interviews,158 Jobs,473 Benefits
100,HSBC Group,3.9,Financial Services | Bangalore / Bengaluru +63 other locations,"Highly Rated For Company Culture, Work Life Balance, Job Security  Critically Rated For Promotions / Appraisal, Salary & Benefits",5.8k Reviews,42.4k Salaries,540 Interviews,141 Jobs,1.1k Benefits
